"N_gen","Herit_African","Sex_ratio_African","N_mut_African","N_sub_African","Theta_African","Het_African","Herit_European","Sex_ratio_European","N_mut_European","N_sub_European","Theta_European","Het_European","Herit_Asian","Sex_ratio_Asian","N_mut_Asian","N_sub_Asian","Theta_Asian","Het_Asian","mr","ms"
105100,0.0713452,0.528258,5544,747,0.510946,0.359052,0.0518362,0.5275,7981,798,0.679952,0.265204,0.0474285,0.517284,10014,809,0.831639,0.24871,2,5
105100,0.0705493,0.523352,5598,739,0.515923,0.345722,0.0469635,0.520017,7799,788,0.664446,0.238045,0.0418497,0.527344,9969,785,0.827902,0.232901,2,5
105100,0.0655565,0.52197,5773,726,0.532051,0.365509,0.0491738,0.521326,8137,766,0.693243,0.272397,0.0448173,0.524572,9973,779,0.828234,0.254433,2,5
105100,0.0671841,0.521418,5571,760,0.513435,0.346929,0.0531637,0.521667,7845,810,0.668365,0.254472,0.0467051,0.528394,9982,821,0.828982,0.232354,2,5
105100,0.0629216,0.523145,5718,684,0.526983,0.362522,0.041467,0.521838,8000,735,0.681571,0.265594,0.0386172,0.529864,10023,736,0.832386,0.250442,2,5
105100,0.0749867,0.527774,5770,768,0.531775,0.346231,0.0569006,0.523289,7820,811,0.666235,0.261471,0.048742,0.520854,10037,820,0.833549,0.244403,2,5
105100,0.0681886,0.517618,5664,746,0.522006,0.345985,0.0410781,0.525679,7818,810,0.666065,0.24851,0.0442761,0.530473,9912,812,0.823168,0.236732,2,5
105100,0.0612352,0.515545,5491,737,0.506062,0.343708,0.051111,0.520757,7893,787,0.672455,0.252273,0.0449414,0.52768,9836,793,0.816857,0.239987,2,5
105100,0.0684086,0.532541,5733,767,0.528365,0.346721,0.0539897,0.527387,8005,823,0.681997,0.247054,0.050754,0.52098,10066,829,0.835958,0.245786,2,5
105100,0.0702095,0.520312,5520,713,0.508734,0.341845,0.0540787,0.524257,7984,756,0.680208,0.251838,0.0449181,0.521673,10053,770,0.834878,0.239745,2,5
105100,0.0690846,0.526876,5545,673,0.511038,0.353311,0.0508928,0.515351,7826,711,0.666747,0.255388,0.0489734,0.527995,10114,721,0.839944,0.243413,2,5
105100,0.067063,0.520312,5738,743,0.528826,0.349403,0.0435508,0.521639,7907,792,0.673647,0.235656,0.0406178,0.523395,9889,795,0.821258,0.218212,2,5
105100,0.0611906,0.519207,5650,723,0.520716,0.348165,0.0450393,0.523972,8061,767,0.686768,0.258643,0.0458366,0.527554,9952,781,0.82649,0.235345,2,5
105100,0.0572331,0.517756,5598,729,0.515923,0.351404,0.0480936,0.52383,8049,769,0.685745,0.267599,0.0442159,0.527491,9950,789,0.826324,0.246783,2,5
105100,0.0652462,0.530814,5542,656,0.510762,0.352361,0.0483091,0.520074,8037,712,0.684723,0.247419,0.046251,0.518754,9995,726,0.830061,0.234925,2,5
105100,0.0643364,0.534683,5723,760,0.527443,0.353734,0.0524045,0.52383,8037,813,0.684723,0.262157,0.0471864,0.524425,10136,819,0.841771,0.253708,2,5
105100,0.0721069,0.533094,5572,700,0.513527,0.356566,0.0456079,0.51996,7897,739,0.672795,0.248535,0.0439012,0.52224,10095,756,0.838366,0.240404,2,5
105100,0.0693628,0.518861,5671,723,0.522651,0.337568,0.0489321,0.527273,8053,773,0.686086,0.269284,0.0482321,0.527239,10039,779,0.833715,0.245832,2,5
105100,0.0756904,0.52805,5623,690,0.518227,0.355151,0.0530007,0.525537,7978,750,0.679696,0.255476,0.0525991,0.530767,10011,757,0.83139,0.26118,2,5
105100,0.244192,0.516789,5658,716,0.521453,0.364598,0.167768,0.523062,7991,801,0.680804,0.252662,0.152924,0.523459,9975,806,0.8284,0.236705,2,1
105100,0.226375,0.532403,5613,702,0.517306,0.343227,0.159996,0.521867,7940,750,0.676459,0.237385,0.153185,0.517683,9841,764,0.817272,0.217277,2,1
105100,0.249607,0.525149,5672,745,0.522743,0.350785,0.184485,0.524541,7876,812,0.671006,0.257003,0.170234,0.516255,9982,822,0.828982,0.236323,2,1
